TVA,android,androidTV,chiclet,fireTV,iOS,tvOS,web,chromecast,Playback Hours
8455700605838737,0,0,0-0,8.8.0.34004,8.8.0.34004,8.8.0.34004,8.8.2,0,21.31
5555555555555555,0,0,0-0,0,0,0,0,0,0.0
8455100605318121,8.8.0.34004,0,0-0,0,0,0,0,0,0.03
8455800510469311,0,0,0-0,0,0,0,0,0,0.0
8455700624814487,0,0,8.9.0.36065-20210212,8.8.0.34004,8.8.0.34004,0,0,0,9.45
8455800601627124,0,0,8.9.0.36065-20210518,0,0,0,0,0,0.55
8455700606190690,0,0,8.9.0.36065-20210224,0,0,0,0,0,0.0
8455700604431633,0,0,8.8.0.34005-20210224,0,0,0,0,0,0.0
8455700500177652,8.9.0.36064,0,0-0,0,0,0,0,0,1.05
8445700510634767,0,0,0-0,0,0,0,0,0,0.0
0000000000000000,0,0,0-0,0,0,0,0,0,0.0
8455700604189272,0,0,8.9.0.36065-20210518,0,8.8.0.34004,0,8.8.2,0,20.01
8455700531554820,0,0,0-0,0,0,0,0,0,0.0
8455800510002054,0,0,8.9.0.36065-20210518,0,0,0,0,0,0.77
fibreop_5064557831,0,0,0-0,0,8.9.0.36030,0,0,0,2.65
8455100633819606,0,0,0-0,0,0,0,0,0,0.0
8455700511930248,8.8.0.34004,0,8.5.2.30303-20210202,0,8.8.0.34004,0,0,8.6.182,2.52
8455800510126830,0,0,0-0,0,0,0,0,0,0.0
8455800601694462,8.9.0.36064,0,8.9.0.36065-20210518,0,0,0,0,0,23.46
8455100665343951,0,0,0-0,8.9.0.36064,8.8.0.34004,0,0,0,15.94
8455800510429653,0,0,8.8.0.34005-20210518,0,0,0,0,0,26.0
fibreop_7095796652,0,0,0-0,8.8.0.34004,0,0,0,0,10.74
fibreop_5068499234,8.9.0.36064,0,0-0,0,0,0,8.8.2,8.6.182,0.98
111111111111111111,0,0,0-0,0,0,0,0,0,0.0
8455800510293919,0,0,8.9.0.36065-20210518,0,8.8.0.34004,0,0,0,19.59
8455800510366418,0,0,8.9.0.36063-20210518,8.8.0.34004,8.8.0.34004,0,0,0,31.18
8455700510533993,8.9.0.36064,8.9.0.36064,0-0,0,0,0,0,8.9.3,0.48
8455700607413190,8.8.0.34004,8.8.0.34004,0-0,8.8.0.34004,8.8.0.34004,8.8.0.34004,0,0,7.49
fibreop_7093681788,0,0,0-0,0,8.9.0.36030,0,0,0,3.51
8455700629360932,0,0,0-0,0,8.9.0.36030,0,8.8.2,0,1.56
8455100501137450,0,0,0-0,0,8.9.0.36000,0,0,0,0.1
8455800601362201,0,0,8.9.0.36065-20210518,0,0,8.8.0.34004,0,0,10.27
8455700605864501,0,0,8.9.0.36065-20210518,0,8.8.0.34004,8.9.0.36030,0,0,5.6
fibreop_9024432156,8.9.0.36064,0,0-0,8.9.0.36064,0,0,0,0,0.0
