TVA,android,androidTV,chiclet,fireTV,iOS,tvOS,web,chromecast,Playback Hours
8455700605838737,0,0,0-0,8.8.0.34004,8.8.0.34004,8.8.0.34004,8.8.2,0,20.04
5555555555555555,0,0,0-0,0,0,0,0,0,0.0
8455100605318121,0,0,0-0,0,0,0,0,0,0.0
8455800510469311,0,0,0-0,0,0,0,0,0,0.0
8455700624814487,0,0,8.9.1.36077-20210212,8.8.0.34004,8.8.0.34004,0,0,0,9.35
8455800601627124,0,0,8.9.1.36077-20210518,0,0,8.9.1.36036,8.8.2,0,0.14
8455700606190690,0,0,8.9.1.36077-20210224,0,0,0,0,0,0.0
8455700604431633,0,0,8.8.0.34005-20210224,0,0,0,0,0,0.0
8455700500177652,8.9.1.36076,0,0-0,0,0,0,0,0,4.24
8445700510634767,0,0,0-0,0,0,0,0,0,0.0
0000000000000000,0,0,0-0,0,0,0,0,0,0.0
8455700604189272,0,0,8.9.1.36077-20210609,8.8.0.34004,0,0,0,0,10.84
8455700531554820,0,0,0-0,0,0,0,8.8.2,0,0.0
8455800510002054,0,0,0-0,0,0,0,0,0,0.0
fibreop_5064557831,0,0,0-0,0,8.9.0.36030,0,0,0,0.98
8455100633819606,0,0,0-0,0,0,0,0,0,0.0
8455700511930248,8.9.1.36076,0,0-0,0,0,0,0,8.6.187,0.05
8455800510126830,0,0,0-0,0,0,0,0,0,0.0
8455800601694462,8.9.1.36076,0,8.9.1.36077-20210518,0,0,0,0,0,17.87
8455100665343951,0,0,0-0,8.9.1.36076,8.8.0.34004,0,0,0,10.56
8455800510429653,8.8.0.34004,0,8.8.0.34005-20210518,0,0,0,0,0,17.97
fibreop_7095796652,0,0,0-0,8.8.0.34004,0,0,0,0,20.69
fibreop_5068499234,0,0,0-0,0,0,0,0,0,0.0
111111111111111111,0,0,0-0,0,0,0,0,0,0.0
8455800510293919,0,0,8.9.1.36077-20210609,0,0,0,0,0,3.7
8455800510366418,0,0,8.9.0.36200-20210609,8.8.0.34004,8.8.0.34004,0,0,0,28.78
8455700510533993,8.9.1.36076,8.9.0.36064,0-0,0,0,0,0,0,8.07
8455700607413190,0,8.8.0.34004,0-0,8.8.0.34004,8.8.0.34004,0,0,0,1.97
fibreop_7093681788,0,0,0-0,0,8.9.1.36036,0,0,0,2.29
8455700629360932,0,0,0-0,0,8.9.1.36036,0,8.8.2,0,0.56
8455100501137450,0,0,0-0,0,8.9.0.36000,0,0,0,2.62
8455800601362201,0,0,8.9.1.36077-20210518,0,8.9.0.36030,8.8.0.34004,0,0,9.47
8455700605864501,0,0,8.9.1.36077-20210518,0,0,8.9.0.36030,0,0,0.85
fibreop_9024432156,8.9.1.36076,0,0-0,8.9.1.36076,0,0,0,0,0.0
8455700606106472,0,0,0-0,8.8.0.34004,8.8.0.34004,0,0,0,16.92
8455700510570037,8.9.1.36076,0,0-0,8.8.0.34004,0,0,0,0,32.29
8455700620975381,0,0,8.8.0.34005-20210518,0,0,0,0,0,36.16
8455800510047703,0,0,0-0,0,0,8.8.0.34004,8.8.2,0,53.53
8455800601570852,0,0,8.9.1.36077-20210609,8.8.0.34004,8.8.0.34004,8.9.0.36030,0,0,20.96
8455700625353758,8.9.1.36076,0,8.9.1.36077-20210518,0,0,0,0,8.9.3,2.25
8455700600491821,0,8.8.0.34004,0-0,0,0,0,0,0,0.0
8455100665672219,0,0,8.9.1.36077-20210518,0,0,0,0,0,0.0
8455800603118635,0,0,0-0,8.9.1.36076,8.9.1.36036,0,0,0,0.02
8455700502285966,0,0,8.9.1.36077-20210609,0,8.8.0.34004,8.8.0.34004,8.8.2,0,17.37
8455800500154576,0,0,0-0,0,0,0,0,0,0.0
8455700601001611,8.8.0.34004,0,0-0,0,8.8.0.34004,0,8.8.2,8.6.187,0.36
22222222222222222,0,0,0-0,0,0,0,0,0,0.0
8455700513241388,0,0,0-0,0,8.9.1.36036,0,0,0,0.93
8455700500176571,0,0,0-0,0,8.9.1.36036,8.3.1.28167,0,0,2.26
8455700601733247,0,0,0-0,0,8.9.1.36036,0,0,0,93.73
8455700510158742,0,8.9.1.36076,8.9.1.36077-20210224,0,8.8.0.34004,8.9.1.36036,0,0,4.74
8455700602268656,8.8.0.34004,0,0-0,0,8.9.1.36036,0,8.8.2,0,0.88
8455700515310611,0,0,0-0,0,0,0,0,0,0.0
fibreop_5067382826,0,0,0-0,0,0,0,0,0,0.0
8455800510454339,0,0,8.9.0.36200-20210609,0,8.8.0.34004,8.8.0.34004,0,0,13.38
8455700628520601,0,0,0-0,0,8.8.0.34004,8.8.0.34004,8.8.2,8.6.187,20.72
8455700606476719,8.9.1.36080,8.9.1.36076,8.9.1.36077-20210621,8.9.1.36080,8.11.0.40069,8.11.0.40071,8.8.2,8.6.187,79.85
8455800602429843,0,0,8.9.1.36077-20210518,0,8.9.1.36036,0,0,0,13.67
8455700604973881,0,0,0-0,0,8.8.0.34004,0,0,0,2.27
fibreop_9028643670,0,0,8.9.1.36077-20210518,0,8.8.0.34004,8.8.0.34004,0,0,72.02
3333333333,0,0,0-0,0,0,0,0,0,0.0
8455800500141078,0,0,0-0,0,0,0,8.8.2,0,0.0
8455800510154012,0,0,8.9.0.36065-20210518,0,0,8.9.1.36036,0,0,26.98
8455800601938398,8.9.1.36076,8.9.1.36076,8.9.1.36077-20210518,0,0,8.9.1.36036,0,0,26.89
8455800510234848,0,8.9.1.36076,8.9.1.36077-20210518,0,8.9.1.36036,8.8.0.34004,0,0,12.2
8455700512475896,0,0,0-0,0,8.9.0.36030,0,0,0,0.84
8455800500119405,0,0,8.9.0.36065-20210518,0,0,0,0,0,0.0
8455700501356479,0,0,0-0,0,0,0,0,0,0.0
8455700500354533,0,0,0-0,0,8.9.0.36030,0,0,0,0.3
8455700622984555,0,0,0-0,0,0,0,0,0,0.0
fibreop_5068699819,0,0,0-0,0,0,8.9.1.36036,8.8.2,0,3.28
8455700605704582,0,0,0-0,0,8.9.1.36036,0,0,0,1.05
8455700607349147,0,0,0-0,0,8.9.1.36036,0,8.8.2,8.6.187,11.57
8455100602321821,0,0,8.9.1.36077-20210518,0,8.9.1.36036,0,0,0,1.49
8455800601920503,0,0,8.9.1.36077-20210518,0,0,8.8.0.34004,8.8.2,0,2.83
8455700510306176,0,0,8.9.1.36077-20210609,0,8.9.1.36036,0,8.8.2,0,17.86
8455800601717560,0,0,8.9.0.36200-20210609,0,8.8.0.34004,8.8.0.34004,8.8.2,0,16.03
8455800601094994,8.8.0.34004,8.8.0.34004,8.8.0.34005-20210518,0,8.8.0.34004,8.8.0.34004,0,0,104.08
8455700603176486,0,0,0-0,0,0,0,0,0,0.0
8455800510000074,0,0,0-0,0,8.8.0.34004,8.8.0.34004,8.8.2,0,112.5
8455800602429108,0,0,0-0,0,0,0,0,0,0.0
fibreop_5057382826,0,0,0-0,0,0,0,0,0,0.0
8455700606368940,8.9.1.36076,8.9.1.36076,8.9.1.36077-20210518,0,0,0,0,0,1.49
8455700625682602,8.9.1.36076,8.9.1.36076,8.9.1.36077-20210518,0,0,0,0,8.6.187,57.11
845570060103878,0,0,0-0,0,0,0,0,0,0.0
8455800600993360,0,8.9.1.36076,8.9.1.36077-20210518,0,0,0,0,0,5.0
8455700600057689,8.9.1.36076,8.9.1.36076,0-0,0,0,8.8.0.34004,0,0,0.47
8455700602314039,8.9.1.36076,0,0-0,0,0,0,8.8.2,0,2.35
8455700510543786,8.9.1.36076,8.9.1.36076,8.9.1.36077-20210518,0,8.11.0.40056,0,0,0,40.71
