TVA,android,androidTV,chiclet,fireTV,iOS,tvOS,web,chromecast,Playback Hours
8455700605838737,0,0,0-0,8.8.0.34004,8.9.1.36036,8.8.0.34004,8.8.2,0,30.78
5555555555555555,0,0,0-0,0,0,0,0,0,0.0
8455100605318121,8.8.0.34004,0,0-0,0,0,0,0,0,0.54
8455800510469311,0,0,0-0,0,0,0,0,0,0.0
8455700624814487,0,0,8.9.1.36077-20210212,8.9.1.36076,8.8.0.34004,0,0,0,9.61
8455800601627124,8.9.1.36076,0,8.9.1.36077-20210609,0,0,8.9.1.36036,8.8.2,0,3.9
8455700606190690,8.9.1.36076,0,8.9.1.36077-20210224,0,0,0,0,0,0.0
8455700604431633,0,0,8.9.1.36077-20210224,8.9.1.36076,0,0,0,0,0.0
8455700500177652,8.9.1.36076,0,0-0,0,8.8.0.34004,0,0,8.6.187,1.0
8445700510634767,0,0,0-0,0,0,0,0,0,0.0
0000000000000000,0,0,0-0,0,0,0,0,0,0.0
8455700604189272,0,0,8.9.0.36200-20210609,0,8.8.0.34004,0,8.8.2,0,15.94
8455700531554820,0,0,0-0,0,0,0,8.8.2,0,0.0
8455800510002054,0,0,0-0,0,0,0,0,0,0.0
fibreop_5064557831,0,0,0-0,0,8.9.1.36036,0,0,0,0.0
8455100633819606,0,0,0-0,0,0,0,0,0,0.0
8455700511930248,8.9.1.36076,0,0-0,0,8.9.1.36036,0,0,8.6.187,0.06
8455800510126830,0,0,0-0,0,0,0,0,0,0.0
8455800601694462,8.9.1.36076,0,8.9.1.36077-20210518,0,0,0,0,0,21.96
8455100665343951,0,0,0-0,8.9.1.36076,8.8.0.34004,0,0,0,8.83
8455800510429653,8.9.1.36076,0,8.8.0.34005-20210518,0,0,0,0,0,13.71
fibreop_7095796652,0,0,0-0,8.8.0.34004,0,0,0,0,30.53
fibreop_5068499234,8.9.1.36076,0,0-0,0,0,0,0,0,0.0
111111111111111111,0,0,0-0,0,0,0,0,0,0.0
8455800510293919,0,0,8.9.1.36077-20210609,0,0,0,0,0,12.4
8455800510366418,0,0,8.9.0.36200-20210609,8.8.0.34004,8.6.1.30853,0,0,0,8.14
8455700510533993,8.9.1.36076,8.9.0.36064,0-0,0,0,0,0,0,7.35
8455700607413190,8.8.0.34004,8.8.0.34004,0-0,8.8.0.34004,8.9.1.36036,8.8.0.34004,0,0,32.72
fibreop_7093681788,0,0,0-0,0,8.9.1.36036,0,0,0,0.8
8455700629360932,0,0,0-0,0,8.9.1.36036,0,8.8.2,0,0.44
8455100501137450,0,0,0-0,0,8.9.0.36000,8.9.1.36036,0,0,0.39
8455800601362201,0,0,8.9.1.36077-20210518,0,0,8.8.0.34004,0,0,10.1
8455700605864501,0,0,8.9.1.36077-20210518,0,8.8.0.34004,8.9.1.36036,0,0,1.94
fibreop_9024432156,8.9.1.36076,0,0-0,0,0,0,0,0,0.0
8455700606106472,0,0,0-0,8.8.0.34004,8.8.0.34004,0,0,0,18.15
8455700510570037,8.9.1.36076,0,0-0,8.8.0.34004,0,0,0,0,9.79
8455700620975381,0,0,8.8.0.34005-20210518,0,0,0,0,0,23.75
8455800510047703,8.8.0.34004,0,0-0,0,0,8.9.1.36036,0,0,52.09
8455800601570852,0,0,8.9.0.36200-20210609,8.9.1.36076,8.8.0.34004,0,0,0,28.14
8455700625353758,8.9.1.36076,0,8.9.1.36077-20210518,0,0,0,0,0,0.0
8455700600491821,0,8.8.0.34004,0-0,0,0,0,0,0,0.0
8455100665672219,0,0,8.9.1.36077-20210518,0,0,0,0,0,1.04
8455800603118635,0,0,8.8.0.34005-20200615,8.9.1.36076,8.9.1.36036,0,0,0,3.96
8455700502285966,0,0,8.9.1.36077-20210609,0,8.9.1.36036,8.8.0.34004,8.8.2,0,11.19
8455800500154576,0,0,0-0,0,0,0,0,0,0.0
8455700601001611,0,0,0-0,0,8.8.0.34004,0,8.8.2,8.6.187,0.0
22222222222222222,0,0,0-0,0,0,0,0,0,0.0
8455700513241388,0,0,0-0,8.8.0.34004,8.9.1.36036,0,0,0,1.54
8455700500176571,0,0,0-0,0,8.8.0.34004,0,0,0,0.85
8455700601733247,0,0,0-0,8.9.1.36076,8.9.1.36036,0,0,0,117.06
8455700510158742,0,8.9.1.36076,8.9.1.36077-20210224,0,8.8.0.34004,8.9.1.36036,0,0,5.7
8455700602268656,8.8.0.34004,0,0-0,0,8.9.1.36036,0,8.8.2,0,0.32
8455700515310611,0,0,0-0,0,0,0,0,0,0.0
fibreop_5067382826,0,0,0-0,0,0,0,0,0,0.0
8455800510454339,0,0,8.9.0.36200-20210609,0,0,8.8.0.34004,0,0,13.53
8455700628520601,0,0,0-0,0,8.8.0.34004,8.9.1.36036,8.8.2,8.6.187,14.86
8455700606476719,8.11.0.40100,8.9.2.36081,8.9.2.36082-20210623,8.11.0.40104,8.9.1.36036,8.8.0.34004,8.8.2,8.6.190,92.62
8455800602429843,0,0,8.9.1.36077-20210518,0,8.9.1.36036,0,0,0,10.78
8455700604973881,0,0,0-0,0,8.9.1.36036,0,0,0,13.46
fibreop_9028643670,0,0,8.9.1.36077-20210518,0,8.9.1.36036,8.9.1.36036,0,0,49.55
3333333333,0,0,0-0,0,0,0,0,0,0.0
8455800500141078,0,0,0-0,0,0,0,0,0,0.0
8455800510154012,0,0,8.9.1.36077-20210518,0,0,8.9.1.36036,0,0,22.16
8455800601938398,8.9.1.36076,8.9.1.36076,8.9.1.36077-20210518,0,0,8.9.1.36036,0,0,2.41
